dias;tesouroUS;eurodolar;prata ;euroyen;ouro;libra;eurolibra;aluminio;gas;microouro;cobre;dolaraustralia
222;-0.002632;-0.0001;0.001593;-0.000322;0.006237;-0.002623;0.00372;0.007392;0.002938;0.00613;0.015327;-0.000684
223;0.003518;0.0001;-0.100969;-0.005968;-0.026074;-0.010287;0.002071;-0.007478;-0.104004;-0.026162;-0.026979;-0.012603
224;-0.00894;0.00005;0.005885;-0.00284;-0.001368;-0.004689;0.000435;0.001564;-0.000545;-0.001472;0.009738;-0.005688
225;-0.001238;-0.0002;-0.058424;0.00057;-0.020383;-0.001492;-0.00261;-0.009368;0.15867;-0.020429;-0.021412;-0.012558
226;0.002833;-0.00005;0.004519;0.000813;0.004516;0.002045;-0.001417;-0.006878;0.057882;0.004515;-0.008184;-0.003674
227;0.000353;0;-0.004369;-0.002031;-0.005674;-0.000863;-0.002893;0.006348;-0.048488;-0.005939;0.001347;-0.003687
228;-0.001059;-0.0001;0.022201;0.002687;0.008128;0.00809;-0.004489;0.014337;-0.017765;0.008074;0.00555;0.006263
229;0.002121;0.00005;0.036212;0.007876;0.01148;0.002182;0.00407;0.010035;0.218943;0.01148;-0.002007;0.008488
230;-0.00529;0;-0.038843;-0.003545;-0.00359;0.002876;-0.004546;-0.004478;-0.013276;-0.00359;0.015083;0.004629
231;0.000355;-0.00005;0.032433;0.003072;0.011073;-0.000465;0.002861;-0.019961;0;0.011073;-0.054482;0.004328
232;-0.002481;-0.00005;-0.009176;-0.004433;-0.004297;0.003257;-0.00609;0.021801;-0.03522;-0.004297;0.040161;-0.004588
233;-0.009593;-0.000201;0.022152;0.008582;0.006473;0.00286;0.002429;0.001404;0.0726;0.006473;-0.004532;0.002095
234;0.002691;0;-0.025794;-0.003532;-0.005961;-0.005473;0.003579;-0.002523;-0.036329;-0.005961;0.000169;-0.007805
235;-0.005903;-0.0002;-0.000922;0.0058;-0.009205;0.000775;0.000384;0.012085;0.034127;-0.009205;0.023268;0.00309
236;0.003059;0.00005;-0.000461;-0.001041;0.002654;0.001549;-0.002413;0.01444;0.008058;0.002654;0.002472;0.003221
237;-0.000897;-0.00005;0.051684;0.002084;0.016361;0.008197;-0.002474;0.02409;0.043396;0.016361;0.012327;0.009492
238;0.001975;0;0.006263;-0.004;0.001563;0.001917;-0.003252;0.002807;0.051076;0.001563;-0.006007;-0.002765
239;0.004659;0.00015;-0.045191;-0.004097;-0.017685;-0.009492;0.004037;-0.004798;-0.009025;-0.017685;-0.006044;-0.008181
240;0.00107;0;0.011542;-0.003146;0.006778;0.006647;-0.006114;-0.00375;-0.076708;0.006778;0.001643;0.001678
241;-0.000713;-0.0001;-0.007019;-0.001375;0.000999;-0.00952;0.004932;0.000941;0.052731;0.000999;0.011649;-0.010328
242;-0.001961;0.00005;0.007275;0.001296;-0.001261;0.002403;-0.000607;0.005506;-0.000721;-0.001261;-0.005838;-0.000846
243;-0.002323;-0.0001;0.011818;0.004612;0.002946;0.004872;0.000607;-0.007346;0.007934;0.002946;0.00522;0.00127
244;-0.005731;-0.00005;0.011356;0.005074;0.002098;-0.003848;0.008161;-0.00915;0.042218;0.002098;0.020286;-0.003947
245;-0.002341;0.00005;0.010426;-0.00569;0.007433;0.016763;-0.013565;0.005703;0.037762;0.007433;0.016224;0.008774
246;-0.004333;-0.0001;-0.021114;-0.000564;-0.01221;-0.00623;0.002551;-0.003376;-0.005293;-0.01221;-0.01393;-0.001824
247;0.001451;0.00005;-0.001541;0.002177;0.000473;-0.003211;0.006637;0.000135;-0.011972;0.000473;-0.007778;0.00267
248;0.005794;0.0001;-0.010192;-0.002655;0.000368;-0.001381;-0.002473;-0.007721;0.017839;0.000368;-0.011838;-0.001121
249;0.00288;-0.00005;0.006154;-0.003631;0.003206;0.002995;-0.003085;-0.003413;-0.001653;0.003206;0.000486;0.000982
250;-0.000359;0;-0.049009;-0.00664;-0.017079;-0.004824;-0.000387;-0.007397;-0.007618;-0.017079;-0.01068;-0.010234
251;-0.006823;-0.00005;0.000643;-0.003831;-0.00565;-0.005309;-0.001603;-0.005658;0.101802;-0.004371;-0.001636;-0.004816
252;-0.00217;-0.00005;0.011911;-0.002046;0.006325;0.002475;-0.004761;0.0161;0.016056;0.00637;-0.002785;0.000427
253;0.001631;0.00005;0.016471;0.000246;0.006924;-0.004398;0.003282;0.023494;-0.032797;0.006702;0.009857;0.002845
254;-0.004161;-0.00005;0.012455;0.004181;0.009575;0.009688;-0.003271;0.015214;-0.057028;0.009458;0.004392;0.013051
255;0.013987;0.000301;-0.018144;0.000245;-0.007283;-0.00238;0.004005;0.003681;-0.00425;-0.007433;0.004535;0.006862
256;-0.000537;-0.0002;0.054769;0.00049;0.02676;0.011542;-0.001884;-0.006942;-0.034143;0.026685;0.001129;0.013352
257;-0.005915;-0.0001;0.018871;0.000979;0.00257;0.001141;0.002498;0.005144;-0.018355;0.002517;0.014334;-0.002608
258;-0.018031;-0.000401;-0.076464;0.017033;-0.049787;0.000684;-0.004983;-0.002624;-0.010042;-0.049854;0.000794;0.00344
259;-0.001102;-0.00005;0.03213;-0.002885;0.011979;0.006378;-0.007902;0.002763;0.03148;0.011864;-0.000317;-0.001509
260;0.00386;0;-0.007977;-0.001848;-0.007838;-0.003169;-0.000168;0.00223;0.027806;-0.007887;-0.006824;-0.000824
261;0.009522;0.0001;0.001608;-0.000564;0.006395;-0.007115;0.00993;0.003534;-0.018146;0.006285;0.004474;-0.005223
262;-0.000544;-0.00005;0.019308;-0.002256;0.006996;0.004498;-0.002333;0.003131;0.006384;0.006886;0.01034;0.003731
